n,Algorithm A (ns),Algorithm B (ns)
2550,8300,12795900
2551,7300,13302400
2552,7100,16740300
2553,6600,10862500
2554,6700,13924300
2555,6500,12705400
2556,7000,8146800
2557,6500,10073500
2558,6500,13567400
2559,8700,10029800
2560,6500,9537300
2561,6500,9730400
2562,6900,9569500
2563,6900,8134300
2564,18800,10223500
2565,6300,9554700
2566,8300,8799900
2567,6300,9535200
2568,7300,14517300
2569,6900,7956500
2570,6800,10341100
2571,6500,13726600
2572,6800,8586400
2573,7200,9190300
2574,12700,8126200
2575,12500,11361200
2576,6300,8507800
2577,6300,10616400
2578,6600,10240500
2579,6700,8342200
2580,6400,9315300
2581,6600,8198600
2582,6300,9501400
2583,6400,7819500
2584,7100,8160000
2585,6300,7677900
2586,6200,9981700
2587,6300,8228100
2588,6800,7783300
2589,6200,8666700
2590,7900,8173200
2591,6400,10330800
2592,6900,8227300
2593,6500,10452800
2594,6200,8826500
2595,6300,9361800
2596,6100,8234000
2597,6400,8284900
2598,6200,8380400
2599,7000,8125200
2600,6200,7650600
2601,6300,9225600
2602,6100,8059800
2603,6700,8209300
2604,5900,7632100
2605,7100,8546900
2606,6300,7960600
2607,6300,8397000
2608,6100,9240600
2609,5900,8066100
2610,6000,8765100
2611,6200,8135400
2612,21800,9615500
2613,6700,8273800
2614,6100,8810500
2615,6500,7439900
2616,6000,9428200
2617,6000,7544900
2618,12100,8738600
2619,6200,7550100
2620,5900,9299900
2621,25000,8249300
2622,27400,8661200
2623,6100,10096900
2624,6500,9248900
2625,6600,9674900
2626,12700,9129600
2627,6900,9817500
2628,6500,9413800
2629,6500,9880300
2630,6100,9633000
2631,6900,9457500
2632,12500,9527700
2633,6300,9728100
2634,20000,8341900
2635,6300,8885600
2636,6200,8476000
2637,6200,8848700
2638,11700,7705900
2639,6100,8760200
2640,21700,8073800
2641,13300,8520700
2642,8400,7951200
2643,6600,10397900
2644,6600,9334400
2645,9000,9694300
2646,6200,9053100
2647,6700,10161600
2648,6500,9584800
2649,6800,10170200
2650,7300,10754900
2651,6500,9491700
2652,6200,8771400
2653,6600,10179700
2654,6300,10589000
2655,6700,9542300
2656,6500,10138700
2657,6900,8545000
2658,6600,9911300
2659,6300,8963200
2660,7000,9197100
2661,6200,8261600
2662,27200,8209800
2663,6100,8810400
2664,18000,8170200
2665,19500,8941200
2666,6700,7981300
2667,9700,8736300
2668,6500,8147100
2669,15600,8502800
2670,13100,8264000
2671,6100,8419600
2672,6200,7980000
2673,6100,8274600
2674,6200,8540600
2675,12400,8380800
2676,6100,8234900
2677,24900,7910200
2678,6200,10444700
2679,6900,10707100
2680,6200,9597300
2681,6900,9504500
2682,6800,9316000
2683,7300,13871100
2684,14500,8159900
2685,6300,8287600
2686,6300,8551800
2687,6300,8902100
2688,7300,8917800
2689,6300,8393500
2690,6200,9859900
2691,139600,9038200
2692,6500,13338300
2693,6900,14655000
2694,6700,12060900
2695,7300,13576700
2696,19900,11351300
2697,6400,9033200
2698,22500,12178100
2699,6300,10359800
2700,7000,8994100
2701,7200,8780200
2702,6500,9812200
2703,6600,8639400
2704,8700,8636900
2705,6800,8032300
2706,6500,11121000
2707,21700,8629500
2708,17500,11729000
2709,6900,11371500
2710,7200,11221300
2711,6900,8749400
2712,6800,9905900
2713,7000,8887900
2714,6400,8971300
2715,6500,8110300
2716,6100,9079300
2717,6400,8480100
2718,6500,9885700
2719,6600,9382200
2720,6300,8575400
2721,6700,9807700
2722,6700,9751800
2723,6600,11538600
2724,6700,9925700
2725,6400,9889800
2726,6200,8447100
2727,6100,8542500
2728,6000,9182100
2729,6000,7659900
2730,6000,8515600
2731,6100,8930300
2732,6900,8435200
2733,6200,7722700
2734,6300,8535700
2735,7000,8349400
2736,6500,8281900
2737,6300,7820100
2738,13000,9384600
2739,6200,8654500
2740,7200,10089600
2741,6100,8679000
2742,6200,7258700
2743,22300,9221600
2744,12100,7615200
2745,6000,8423300
2746,6200,7377100
2747,26000,7896800
2748,6000,8644700
2749,6100,9119000
2750,11900,7817900
2751,6000,9413600
2752,15400,8416300
2753,6600,13334700
2754,6500,14625800
2755,6500,10188400
2756,6500,8091600
2757,8000,10189400
2758,6200,10291300
2759,6900,8954100
2760,6200,9481100
2761,6700,10013700
2762,6400,11118700
2763,6700,9669100
2764,6700,9819800
2765,6500,10996000
2766,6800,13013900
2767,6700,9791800
2768,6100,9538800
2769,6200,7726100
2770,6000,10249000
2771,6500,7614700
2772,6100,12676500
2773,6300,9325100
2774,6700,7752500
2775,6200,9101500
2776,7200,7869800
2777,6300,8261000
2778,6200,7877100
2779,6000,8755600
2780,6800,7660500
2781,6800,9729800
2782,6200,8079400
2783,6400,7824000
2784,12600,7997900
2785,6400,8487900
2786,13100,7968100
2787,12400,8195700
2788,6300,8164200
2789,6300,8554300
2790,6200,8145300
2791,6300,8361700
2792,6100,8362500
2793,6100,7818700
2794,6100,7983900
2795,7100,8623000
2796,6500,9102900
2797,6600,8377700
2798,12800,8160300
2799,6600,8674500
2800,6700,8771300
2801,12700,7742900
2802,6000,8868500
2803,6200,7976800
2804,6100,8495300
2805,6000,8657900
2806,6100,8447600
2807,6000,9133800
2808,6100,10389500
2809,6700,10489500
2810,7300,10339600
2811,6500,10189200
2812,12500,9304600
2813,7200,10251600
2814,6500,8909600
2815,7300,8206300
2816,6200,9313200
2817,6400,7767800
2818,12200,8428300
2819,6000,7659300
2820,11700,9380100
2821,8000,7666600
2822,5900,9506100
2823,6200,7999900
2824,6100,9154800
2825,6200,8112800
2826,6200,7660600
2827,21500,9957700
2828,6300,8991700
2829,6000,8801800
2830,6400,7825000
2831,8600,9153100
2832,6300,9144500
2833,6200,8460900
2834,6100,10137500
2835,7100,9335400
2836,6000,9363000
2837,6600,8876500
2838,6100,9398600
2839,6700,9691800
2840,6300,9774000
2841,12000,8274600
2842,12500,8443300
2843,6300,7562500
2844,5900,9420000
2845,6400,7725600
2846,6200,10211100
2847,7800,8621000
2848,9000,9114400
2849,6300,8122500
2850,28200,7882100
2851,5800,9548500
2852,6500,9522900
2853,6100,8772500
2854,6200,8498100
2855,6800,8853700
2856,6800,9597200
2857,30800,9466600
2858,6900,9341100
2859,6400,9098600
2860,7300,9129700
2861,6400,8847700
2862,6300,9569600
2863,6500,9433100
2864,7500,8752500
2865,6500,8393800
2866,7200,8620600
2867,6300,8401200
2868,7000,11109700
2869,7000,8174400
2870,6200,7773000
2871,6100,8881900
2872,6500,7789300
2873,6100,8747000
2874,12400,9239300
2875,7300,9659000
2876,6300,7887500
2877,7100,8555900
2878,12500,8186900
2879,8900,8930900
2880,6300,9579100
2881,6300,9247100
2882,6400,9426600
2883,6300,8973400
2884,6600,8887700
2885,6500,9739300
2886,7500,8114000
2887,6500,9624300
2888,6200,8196000
2889,6200,8999300
2890,6400,7911000
2891,6000,9110100
2892,8600,8683200
2893,7000,9704100
2894,6400,8705700
2895,13200,9098500
2896,6100,9561700
2897,6500,7997500
2898,6100,8632500
2899,6800,8512300
2900,6500,8361500
2901,12900,7665600
2902,6000,8609400
2903,6200,8178000
2904,6100,8709500
2905,6600,7871500
2906,6300,9163500
2907,6000,7501800
2908,6000,9339000
2909,25800,7481900
2910,12000,8739900
2911,6200,7396500
2912,6100,9534900
2913,6100,7559000
2914,5900,8811300
2915,6000,7368900
2916,6000,8488900
2917,6200,7617700
2918,6400,9429200
2919,6500,8026500
2920,6100,8862800
2921,6000,7789500
2922,6200,8508500
2923,16100,7826100
2924,6000,9120500
2925,6200,8959500
2926,7600,9152800
2927,7300,8521900
2928,6500,8883700
2929,6300,9504500
2930,12900,8192800
2931,6600,8776500
2932,6300,8090000
2933,6200,8662300
2934,11900,7729600
2935,6000,8979600
2936,6000,8298000
2937,6100,8700600
2938,5900,7513800
2939,5800,9002900
2940,6700,8337800
2941,7000,8725700
2942,6200,7545600
2943,6200,8975200
2944,6000,7983700
2945,6300,8435200
2946,6200,7978200
2947,6000,8575700
2948,6100,8321300
2949,6300,7398700
2950,5700,10998200
2951,6900,10140600
2952,8300,9457000
2953,6100,10644300
2954,6700,9953900
2955,6800,10026300
2956,6400,10795500
2957,7000,9581300
2958,15800,9211000
2959,6100,9321900
2960,6800,12218700
2961,6200,10964200
2962,7000,9544500
2963,12400,9057400
2964,6400,8707400
2965,6000,8561500
2966,6400,7519900
2967,12100,8867000
2968,6000,7663000
2969,6000,11818600
2970,6200,11212500
2971,6700,7506100
2972,7300,8762100
2973,6100,7444400
2974,6200,8880000
2975,6600,7642200
2976,7400,8892000
2977,6300,7935300
2978,6900,9000900
2979,8200,8345300
2980,6000,8733100
2981,6500,7717200
2982,6100,8821700
2983,6200,7997500
2984,6200,8316500
2985,6500,7769800
2986,6000,7932200
2987,7700,8727500
2988,6500,8380000
2989,6400,7601400
2990,6400,12850800
2991,6300,10355700
2992,6800,7698900
2993,5900,8577200
2994,13000,7608000
2995,6000,8713800
2996,6300,8084800
2997,6600,8580000
2998,6300,8871900
2999,6400,13888000
3000,26200,8001100
3001,7100,10690700
3002,6900,8316800
3003,6700,8176300
3004,6800,9329000
3005,6300,8554500
3006,7300,8379400
3007,6500,8060000
3008,6200,7761400
3009,6500,9310800
3010,13300,8362300
3011,21500,8694400
3012,6300,7891900
3013,12400,7944600
3014,6300,9175000
3015,28400,8877200
3016,6300,7413900
3017,6000,9165800
3018,6200,7527600
3019,5900,8582000
3020,6000,8961100
3021,27400,8779600
3022,6400,7654100
3023,5900,8138800
3024,6300,7575000
3025,22100,7903900
3026,6300,7783200
3027,5900,7619800
3028,5900,8392500
3029,6000,8487300
3030,12400,7836700
3031,6100,8630400
3032,6000,7887100
3033,6100,8236900
3034,6200,8043400
3035,6000,8481100
3036,6000,10241900
3037,9100,9324200
3038,8000,10161200
3039,6400,10651000
3040,6600,8824400
3041,27000,8876100
3042,10600,9617800
3043,6700,9597800
3044,6500,8424300
3045,6400,8934500
3046,6200,7492900
3047,6100,8570000
3048,5900,7416600
3049,5700,9937400
3050,6300,7312900
3051,7200,9422700
3052,6100,8220700
3053,6800,9051700
3054,6200,7673600
3055,6100,8920000
3056,6200,10003600
3057,13000,9524700
3058,6100,8725200
3059,6200,7814700
3060,7200,10092000
3061,6700,7810900
3062,6200,9880300
3063,6100,7925400
3064,12200,7993600
3065,5900,8665700
3066,6000,9524700
3067,274500,8603700
3068,10400,8643000
3069,6100,8041800
3070,6000,7827500
3071,11900,8012700
3072,6600,8232100
3073,6200,8381600
3074,6700,9141300
3075,6000,9307000
3076,6400,7425900
3077,6000,9405100
3078,12600,7497600
3079,6000,8671800
3080,6500,8293500
3081,6100,9226500
3082,6300,7858700
3083,6100,8923400
3084,6400,8023200
3085,6400,8480000
3086,15300,7485300
3087,6500,8725100
3088,6300,8254400
3089,6200,9026400
3090,6500,8383700
3091,6100,8421200
3092,6200,8908300
3093,6900,7537700
3094,6500,8149700
3095,6400,8157400
3096,6500,8746200
3097,6900,7872500
3098,6500,8721400
3099,6300,7922100
3100,6400,8476500
3101,6700,8601800
3102,12400,8798700
3103,6400,9606800
3104,6300,9203600
3105,6200,7885100
3106,6300,8176000
3107,6100,8598200
3108,6200,8625200
3109,6400,7711100
3110,12100,8693600
3111,6200,7770300
3112,6000,8799900
3113,12500,7983400
3114,7100,12168400
3115,19100,13431700
3116,6200,8568400
3117,14400,8172100
3118,6200,8417500
3119,6700,8523400
3120,6200,8557800
3121,6400,7689100
3122,12400,8856700
3123,6200,7679100
3124,5900,8923800
3125,6300,7702000
3126,6200,9044300
3127,7200,7801300
3128,6200,10143100
3129,6200,7830400
3130,35000,8983700
3131,6000,7867400
3132,6200,8752100
3133,5900,9605500
3134,6800,8382800
3135,7100,8406900
3136,7600,8568900
3137,6600,8815400
3138,7100,8524400
3139,6200,8915500
3140,8400,7970100
3141,6600,10276600
3142,6200,7549900
3143,6000,9255100
3144,6100,7751000
3145,12000,8913600
3146,6100,7762600
3147,5900,8782200
3148,6200,7506500
3149,5900,9170400
3150,6300,8016400
3151,7100,8644600
3152,6400,7684000
3153,7100,8804300
3154,6000,8150200
3155,8400,7594600
3156,5800,7734300
3157,6800,9278700
3158,6000,8998200
3159,7500,8615800
3160,6300,10678100
3161,7300,10127900
3162,6500,8603200
3163,6200,8333000
3164,27600,8581800
3165,6400,8104100
3166,6300,7909500
3167,6400,8910800
3168,6200,7656400
3169,6200,7853800
3170,7500,8011900
3171,6700,9036800
3172,7000,9221700
3173,13700,8816400
3174,12200,8166400
3175,6100,8553500
3176,6200,7672600
3177,6100,8129100
3178,21400,8342300
3179,6000,8879700
3180,6200,8303700
3181,6600,10063700
3182,8800,9561200
3183,8700,8554700
3184,6500,7962900
3185,6300,9255000
3186,6200,8389100
3187,6700,8282800
3188,6200,8309400
3189,7000,7930000
3190,5900,8457500
3191,6300,7435600
3192,6000,8558200
3193,24900,7610400
3194,5800,8594000
3195,6700,9258600
3196,6300,11711000
3197,6300,10923200
3198,6400,8282100
3199,6100,8712100
3200,6200,7398000
3201,5900,9436600
3202,7100,7615600
3203,6800,9078700
3204,6200,7875700
3205,6100,8674700
3206,12300,8416200
3207,6100,8777300
3208,7300,7958400
3209,12400,9028600
3210,6300,7767300
3211,12800,8680600
3212,6100,8291600
3213,6200,9716400
3214,8800,7854600
3215,6900,8704700
3216,6400,8091600
3217,6600,8714100
3218,6000,8259300
3219,6900,8257400
3220,6400,9191900
3221,9100,8251400
3222,6200,9407300
3223,6500,7612500
3224,6000,8764100
3225,6800,7629400
3226,6300,8632800
3227,6200,7513200
3228,5900,9253700
3229,6200,7639600
3230,6200,8404100
3231,7500,7632700
3232,6100,8463400
3233,6200,7783100
3234,5900,9273500
3235,12600,7712700
3236,6300,9563200
3237,6200,8727200
3238,6300,7867800
3239,12900,8193700
3240,6400,7919700
3241,6500,7834100
3242,6000,8538600
3243,6300,9174400
3244,7100,8037000
3245,21200,8646600
3246,6400,8505500
3247,6100,8112100
3248,7100,8572400
3249,6100,8208400
3250,6700,9517100
3251,6200,7897000
3252,6400,8235400
3253,6300,8976500
3254,7000,7867600
3255,6200,8830800
3256,6400,7604000
3257,12100,8559100
3258,6400,8470500
3259,6500,9547400
3260,6800,8926800
3261,6600,9921400
3262,6200,8278800
3263,8800,7747200
3264,6200,8354600
3265,12900,7849500
3266,6600,8100200
3267,6500,9121400
3268,6100,9298900
3269,6600,7385200
3270,5900,8913800
3271,5900,8130200
3272,6200,9342100
3273,6200,8528300
3274,6300,8737300
3275,6800,8911200
3276,6200,8754300
3277,6200,7697600
3278,5900,8936000
3279,6300,7380200
3280,5900,8475800
3281,5900,7527700
3282,5800,9279400
3283,6200,7805700
3284,5900,8946800
3285,5900,7371800
3286,5700,8750300
3287,6000,7568500
3288,6300,8191900
3289,6000,7946900
3290,12600,9262500
3291,6200,7803500
3292,6600,7651000
3293,6000,8549600
3294,6300,8939500
3295,6400,8989000
3296,7100,8170600
3297,6100,8648000
3298,21600,7451200
3299,6100,8625000
3300,6200,8189300
3301,5800,8690600
3302,6000,8880900
3303,6000,8021200
3304,6100,7974200
3305,6000,8570900
3306,6200,7587400
3307,6000,9344400
3308,6200,8242100
3309,12700,9055700
3310,6500,8010900
3311,6700,8874800
3312,6100,7633400
3313,6300,8048400
3314,23600,7629600
3315,6100,9280500
3316,7600,8431400
3317,7400,8362800
3318,6200,9013100
3319,6700,11284100
3320,6200,8913700
3321,12900,7645000
3322,6100,9597600
3323,6300,7752200
3324,6200,8523800
3325,12500,8358100
3326,6500,8569700
3327,6200,8332400
3328,6200,8703500
3329,6200,8151500
3330,6500,8265700
3331,12800,8366300
3332,6400,8127800
3333,6200,8455600
3334,23000,7694100
3335,22500,9800100
3336,6900,13455300
3337,6100,14029800
3338,6600,9759000
3339,6200,7480400
3340,6100,9046500
3341,6200,7591300
3342,6000,11238900
3343,6100,11618100
3344,6200,7737200
3345,5900,9006000
3346,6200,8282200
3347,6600,10001200
3348,6100,8755600
3349,6800,8501400
3350,12800,8441100
3351,6200,7419800
3352,6000,8155100
3353,6600,8588000
3354,6300,8641600
3355,7400,7657800
3356,6600,7911100
3357,6400,7470400
3358,5800,7667600
3359,5900,9396300
3360,6600,7795300
3361,6300,8220900
3362,6700,8014600
3363,6600,8921300
3364,6200,7940800
3365,6800,7593300
3366,6000,7950600
3367,6200,8712500
3368,12000,8324800
3369,6700,7869800
3370,6000,8379100
3371,29600,7443700
3372,5800,8379800
3373,6600,7443000
3374,12100,8784400
3375,6400,7390100
3376,5800,9871200
3377,6500,7542600
3378,5900,9582700
3379,6500,7625100
3380,6300,8061100
3381,6000,8210200
3382,5800,7880400
3383,5900,7453700
3384,5900,8822500
3385,6000,8584000
3386,6500,9461900
3387,12200,7629800
3388,5900,9012900
3389,6100,9495800
3390,6400,8285100
3391,6100,7596200
3392,6000,9163500
3393,12900,8100000
3394,6500,8704600
3395,6500,9401600
3396,6800,8852600
3397,6100,8143500
3398,6700,8850900
3399,6000,9492100
3400,6100,7586200
3401,6000,8924700
3402,6300,7508100
3403,5900,9592400
3404,6100,7483000
3405,5900,8372400
3406,6200,7597400
3407,7800,8918700
3408,6200,8292300
3409,6200,9075100
3410,6400,8245700
3411,17600,8394700
3412,6500,11153300
3413,12400,9042300
3414,12800,8451600
3415,6200,7701500
3416,6500,9157900
3417,6000,8029000
3418,5800,8637700
3419,6200,7540500
3420,6000,8788700
3421,6200,7976200
3422,6300,8535700
3423,6400,8039600
3424,6200,8050300
3425,6300,8222900
3426,6200,8725400
3427,7000,7929600
3428,6200,8986300
3429,12400,7560300
3430,6000,8635600
3431,6300,7792200
3432,23300,9193000
3433,6300,7682100
3434,6000,9992000
3435,6200,8126300
3436,6800,8650000
3437,6300,8716600
3438,6600,7765500
3439,6200,8408500
3440,7800,8422000
3441,12200,10452200
3442,6200,7864800
3443,6000,9186100
3444,6100,7555200
3445,13600,9656200
3446,6900,7782400
3447,6000,8849600
3448,6700,8295400
3449,6500,8104700
3450,6300,8332900
3451,6300,7861400
3452,5900,8629200
3453,6600,8264200
3454,6200,8832900
3455,6700,8768600
3456,6400,8362900
3457,6400,7606800
3458,6200,9139100
3459,6100,8110100
3460,6200,8535600
3461,6200,8481300
3462,6100,8853100
3463,6500,8181700
3464,6100,8490500
3465,6200,8171800
3466,6200,8673500
3467,6200,7618100
3468,6100,9777400
3469,6500,7534000
3470,6100,8358500
3471,6100,7583500
3472,16700,9130300
3473,6000,11284900
3474,6400,9255300
3475,6500,10117000
3476,6600,7791100
3477,6000,8539100
3478,6200,7566200
3479,5900,8071800
3480,6300,8090100
3481,6100,9238400
3482,6100,7350700
3483,5700,9390200
3484,6000,7679800
3485,14100,8252300
3486,8300,8208900
3487,5900,7854800
3488,5900,7716300
3489,6000,9088800
3490,6300,8257200
3491,12600,8653000
3492,6000,8257700
3493,6200,8145200
3494,12300,8900800
3495,87200,7805400
3496,5900,8234100
3497,6300,7936200
3498,6300,7735100
3499,7200,8135700
3500,11900,7821100
3501,6300,8965100
3502,6300,7921400
3503,6600,9513000
3504,6100,7802100
3505,6000,8975400
3506,6100,8620700
3507,6200,7846800
3508,6200,9019900
3509,6000,7324700
3510,6000,9190600
3511,6300,7467400
3512,6000,9409400
3513,8100,8470500
3514,6100,9253500
3515,21600,8173800
3516,27900,8978800
3517,6200,7663200
3518,6700,8549600
3519,6000,8373100
3520,6600,7419000
3521,8000,7918600
3522,6700,8515200
3523,26400,8378200
3524,6500,8692900
3525,6300,8823600
3526,7600,7704700
3527,23500,8894100
3528,6100,7448800
3529,6000,8250600
3530,6000,7454000
3531,5900,10160900
3532,6300,7827800
3533,6200,9148900
3534,6100,8070100
3535,6100,8709400
3536,7700,8121600
3537,6300,8678800
3538,6400,8219400
3539,6300,7816500
3540,6600,8713700
3541,6200,8213800
3542,6100,7641400
3543,21500,8442700
3544,13200,7687400
3545,6400,10106200
3546,12700,8237900
3547,13500,8325400
3548,27800,8114900
3549,7200,8599700
3550,6300,8087900
3551,6400,8271200
3552,6300,8074500
3553,6500,8254000
3554,6300,8683500
3555,6600,7939400
3556,6100,8612600
3557,8700,13432700
3558,6300,10330000
3559,6500,10381400
3560,7100,11497800
3561,6500,9825100
3562,6400,9338000
3563,7300,8076700
3564,6200,9464000
3565,6200,9097800
3566,6200,8156400
3567,6200,7723000
3568,6100,8835700
3569,6400,8132800
3570,6100,8351700
3571,6200,7747100
3572,6100,8715400
3573,6600,8028200
3574,6300,9576800
3575,6200,7982400
3576,6400,8956600
3577,6300,7850900
3578,6000,9144000
3579,6800,7913100
3580,6600,9910300
3581,6400,9737400
3582,6600,9230600
3583,23700,12439900
3584,8800,12061900
3585,7500,11171100
3586,10000,14476100
3587,6500,16107500
3588,7000,14094000
3589,6800,12627300
3590,7500,10494500
3591,8100,12184100
3592,6400,9851500
3593,6100,8097900
3594,13800,8509800
3595,15400,8140200
3596,6500,9326000
3597,6400,7780600
3598,6600,8380400
3599,6100,8246100
3600,6100,7650600
3601,5700,8403000
3602,6900,11201400
3603,6100,9905400
3604,6300,8277000
3605,7300,11277100
3606,6800,9662000
3607,6700,10669200
3608,16100,12573900
3609,6600,11327700
3610,6300,10417000
3611,6700,12846900
3612,27000,11233300
3613,6700,9776400
3614,7300,10628300
3615,6300,9397800
3616,8100,10073100
3617,6200,9415800
3618,7200,9467400
3619,6800,9520600
3620,6200,8395700
3621,6200,7916000
3622,6100,8514800
3623,6200,8972600
3624,6400,9635400
3625,6400,8177600
3626,6400,8367500
3627,6300,7747000
3628,6400,10829400
3629,6300,9395900
3630,20700,9447900
3631,6300,9998700
3632,6200,8969300
3633,7100,10856300
3634,6200,9516800
3635,6800,9762100
3636,6500,10065000
3637,6100,9707100
3638,6700,10567100
3639,6700,11337300
3640,26800,12591700
3641,8100,12815800
3642,7900,23552600
3643,7100,17020600
3644,6800,12353900
3645,7400,10926600
3646,6400,8298500
3647,6400,7714300
3648,6900,8190900
3649,16400,9345200
3650,6800,8744800
3651,6800,8061900
3652,6800,7938300
3653,6400,8995700
3654,6500,12277700
3655,13100,9851500
3656,28700,7756000
3657,6400,8685600
3658,6500,9318500
3659,6900,10165900
3660,8600,11357400
3661,6600,8932100
3662,6400,11866700
3663,8700,9244900
3664,6300,9264200
3665,6400,9652900
3666,6400,10179300
3667,8800,10800600
3668,7000,11523500
3669,6300,8960800
3670,23600,9405700
3671,6700,8074400
3672,6900,8866500
3673,13100,7818000
3674,12900,9187300
3675,6400,8207600
3676,6200,8376700
3677,6300,8535700
3678,7100,7915700
3679,6200,8668000
3680,6300,7949600
3681,6000,8749200
3682,7000,7877700
3683,6200,10028400
3684,12400,7993900
3685,6700,9157300
3686,6600,8199600
3687,6200,9058800
3688,6500,8597900
3689,7200,8386300
3690,6700,8052900
3691,6900,8181700
3692,6300,8167000
3693,6600,8240300
3694,6400,8014500
3695,20900,8220300
3696,6600,7799300
3697,6700,8462600
3698,12000,7889400
3699,6600,8564700
3700,6400,7744100
3701,6200,8632300
3702,6100,7679700
3703,5900,9135100
3704,12300,8658100
3705,6200,8562100
3706,6700,9719800
3707,7000,9248100
3708,6300,9686300
3709,6800,11545200
3710,7100,10308100
3711,7000,9608800
3712,6500,8914800
3713,6200,11949600
3714,7900,9125600
3715,6700,9849500
3716,6800,11022400
3717,7000,12264800
3718,6900,10627500
3719,6300,12603400
3720,7200,9620300
3721,6800,8609700
3722,6600,10832500
3723,6700,9985100
3724,6600,8166700
3725,6500,8239000
3726,13900,10634000
3727,6800,12106600
3728,6800,7897300
3729,17000,11118800
3730,6400,11205700
3731,6900,9490300
3732,6500,9434600
3733,16200,8887000
3734,13400,8719900
3735,7000,8250700
3736,6200,8196400
3737,10900,8197600
3738,6600,8441300
3739,6200,9257200
3740,6000,8463000
3741,6100,9160100
3742,6300,7643000
3743,6500,9319900
3744,6300,8534800
3745,6500,9797300
3746,6700,9970600
3747,6800,9913200
3748,7000,11062700
3749,6200,9822900
3750,14200,9462300
3751,6200,9320700
3752,6500,9767900
3753,6300,8446600
3754,6100,9143200
3755,6400,8227300
3756,6200,8235100
3757,6000,9350700
3758,6200,8335800
3759,7600,9149000
3760,6500,7952200
3761,12500,8407500
3762,13300,7794800
3763,6200,9620000
3764,6300,8344200
3765,6200,11071300
3766,21800,11184800
3767,12300,8150000
3768,6200,8406800
3769,6300,7768000
3770,6100,8853900
3771,6800,9178400
3772,6500,7586800
3773,7600,8046800
3774,6600,7994000
3775,6200,7947900
3776,6200,7783100
3777,6100,10430000
3778,7300,8537300
3779,6700,8904700
3780,12700,8416600
3781,6400,9372800
3782,6200,8006700
3783,6100,8019000
3784,6100,8188000
3785,6200,8474300
3786,6200,7879800
3787,6100,8322800
3788,16000,8217400
3789,5900,8808700
3790,12300,7900800
3791,5800,9719100
3792,6000,7892800
3793,6500,8949600
3794,6000,9167200
3795,6100,8607300
3796,6100,8856800
3797,6300,7722800
3798,6100,8928700
3799,12200,7907300
3800,6200,8980400
3801,6700,8070200
3802,6200,9177200
3803,12800,7780800
3804,8300,8646200
3805,6400,8119400
3806,6400,10838800
3807,7700,11306900
3808,6700,10199100
3809,6300,8667600
3810,6300,8529200
3811,6200,8595900
3812,6600,7642400
3813,12700,7741300
3814,5900,7683800
3815,5900,8382800
3816,6700,8190500
3817,6000,8921300
3818,21500,8398800
3819,6900,8465900
3820,21900,7731700
3821,13000,8075400
3822,6100,7432500
3823,6300,9423900
3824,29600,8108200
3825,7000,8335300
3826,6200,8441000
3827,6100,8062300
3828,8000,8163800
3829,7400,8472900
3830,6300,8052500
3831,6200,8162600
3832,6000,7812500
3833,11200,8666700
3834,6200,9159600
3835,6100,7726900
3836,5800,8943200
3837,6000,7583200
3838,6000,9415100
3839,6700,8102100
3840,6200,8485300
3841,6300,7556500
3842,6100,9882500
3843,6100,8614900
3844,7100,9871100
3845,6200,9097000
3846,6600,7840700
3847,6000,9344200
3848,6400,8028700
3849,6800,9265200
3850,6400,7695600
3851,6100,7632900
3852,6200,8090100
3853,12000,8415200
3854,6500,8601200
3855,30100,8875200
3856,7000,7867600
3857,12300,8531600
3858,6400,9072400
3859,15500,9447700
3860,6100,9750400
3861,16200,7958700
3862,7900,9657300
3863,6300,8486600
3864,6100,9427900
3865,6100,9020100
3866,6200,9834000
3867,6400,8171000
3868,6900,9925200
3869,10600,8586800
3870,9100,10801100
3871,23600,10475900
3872,6300,8938600
3873,17900,9464400
3874,12300,8906000
3875,8900,8535200
3876,21700,9097400
3877,6200,7824800
3878,20200,9899900
3879,6200,8164100
3880,6300,9759500
3881,6200,11906100
3882,6300,8608500
3883,6300,10214000
3884,6300,13686600
3885,6200,10164200
3886,6100,8521600
3887,6200,8721000
3888,6200,8073200
3889,6200,8212900
3890,6200,9392100
3891,6200,7580700
3892,6000,9216900
3893,6200,7632400
3894,32500,8615100
3895,6100,7880500
3896,6300,8486900
3897,6400,7817500
3898,6500,8519600
3899,6300,7561500
3900,6600,8685600
3901,6000,7542100
3902,6200,7968600
3903,6100,7744200
3904,7800,8908500
3905,6100,8348800
3906,5900,8843900
3907,6000,8543100
3908,6600,7612800
3909,6100,7816100
3910,5900,7405500
3911,5800,8581100
3912,6500,8402800
3913,6100,9068300
3914,26500,7580900
3915,6000,9203500
3916,6400,7317500
3917,6600,8726200
3918,6300,8146700
3919,5900,8414400
3920,12300,7651300
3921,5800,8676700
3922,6000,8011700
3923,5900,8444100
3924,6100,7728900
3925,5900,8764200
3926,7300,7208200
3927,5800,7942100
3928,21500,7713400
3929,5800,8320000
3930,6500,7650400
3931,26000,8812700
3932,6900,7549000
3933,5800,8680100
3934,6100,7451000
3935,5700,8611100
3936,6100,7287000
3937,5700,8159500
3938,6800,8943100
3939,5900,9202700
3940,21400,7702000
3941,12500,8466300
3942,6000,7464900
3943,7200,9318100
3944,12400,8007200
3945,6200,8333600
3946,21700,7834300
